"37signals.com","http://feeds.feedburner.com/typepad/37signals/products","web"
"Android","http://feeds.feedburner.com/blogspot/hsDu","mobile"
"Box.net","http://blog.box.net/?feed=rss","web"
"Brightkite.com","http://feeds.feedburner.com/brightkite","web,mobile"
"Chromium","http://blog.chromium.org/feeds/posts/default","desktop"
"Cooliris.com","http://blog.cooliris.com/feed/atom","desktop"
"Cuil.com","http://www.cuil.com/info/blog/rss/","web"
"delicious.com","http://blog.delicious.com/blog/feed/","web"
"getDropbox.com","http://blog.getdropbox.com/index.php?feed=atom","web,desktop"
"FireEagle.com","http://feblog.yahoo.net/feed/","web"
"FriendFeed.com","http://feeds.feedburner.com/friendfeed","web"
"GrandCentral.com","http://blog.grandcentral.com/?feed=rss2","web,mobile"
"Mesh.com","http://blogs.msdn.com/livemesh/atom.xml","web,desktop,mobile"
"Mint.com","http://feeds.feedburner.com/MyMint","web"
"Pandora.com","http://blog.pandora.com/pandora/index.xml","web"
"Pipes.yahoo.com","http://blog.pipes.yahoo.com/feed/","web,d2"
"Posterous.com","http://blog.posterous.com/rss.xml","web"
"Skydeck.com","http://feeds.feedburner.com/skydeck","web,mobile"
"Soocial.com","http://blog.soocial.com/feed/atom.xml","web"
"TextMate","http://blog.macromates.com/feed/","desktop,d2"
"Twitter.com","http://feeds.feedburner.com/TwitterBlog","web,mobile"
"Zemanta.com","http://feeds.feedburner.com/zemanta/blog/","desktop"
"Zenbe.com","http://feeds.feedburner.com/zenbe/pb","web"
"Blogger.com","http://feeds.feedburner.com/blogspot/Jllt","web"
"Wordpress.org","http://wordpress.org/development/feed/","desktop"
"SixApart.com","http://feeds.feedburner.com/SixApartNews","web,desktop"
"Dopplr.com","http://blog.dopplr.com/feed/rss/","web"
"Intype.info","http://feeds.feedburner.com/Intype-Blog","desktop,d2"
"RememberTheMilk.com","http://blog.rememberthemilk.com/atom.xml","web"
"Gmail.com","http://feeds.feedburner.com/OfficialGmailBlog","web"
"Picasa","http://feeds.feedburner.com/GooglePicasaBlog","web,desktop"
"Heroku.com","http://feeds.feedburner.com/heroku","web,d2"
"EngineYard.com","http://blog.engineyard.com/articles.rss","web,d2"
"Picnik.com","http://feeds.feedburner.com/picnik","web,d2"
"Songbird","http://feeds.songbirdnest.com/songbird-blog","desktop"
"Mozilla","http://blog.mozilla.com/feed/","desktop"
"Memiary.com","http://blog.memiary.com/rss","web"
"Google Mobile","http://feeds.feedburner.com/OfficialGoogleMobileBlog"
